a2,rep=0,count=100,us=1111897,p50_us=11087,p95_us=11463,p99_us=11900,allocations=2504,allocated_bytes=257713
a2,rep=1,count=100,us=1109554,p50_us=11088,p95_us=11499,p99_us=12347,allocations=2500,allocated_bytes=255900
a2,rep=2,count=100,us=1114846,p50_us=11090,p95_us=11521,p99_us=12028,allocations=2500,allocated_bytes=255900
a2,rep=3,count=100,us=1115943,p50_us=11089,p95_us=11733,p99_us=12048,allocations=2500,allocated_bytes=255900
a2,rep=4,count=100,us=1112431,p50_us=11086,p95_us=11462,p99_us=12001,allocations=2500,allocated_bytes=255900
a2,rep=5,count=100,us=1111186,p50_us=11089,p95_us=11469,p99_us=12024,allocations=2500,allocated_bytes=255900
a2,rep=6,count=100,us=1114682,p50_us=11088,p95_us=11684,p99_us=12219,allocations=2500,allocated_bytes=255900
