operation,retained,payload_bytes,samples,p50_ns,p95_ns,p99_ns,alloc_calls_per_op,requested_alloc_bytes_per_op
get_latest,16,256,101,461,491,491,11,771
compare_apply_fixed_size,16,256,101,6763,11251,12193,65,11736
get_latest,128,256,101,721,782,811,11,771
compare_apply_fixed_size,128,256,101,13025,22452,28514,68,20349
get_latest,1024,256,101,2625,2655,2685,11,771
compare_apply_fixed_size,1024,256,101,77357,82737,84369,74,112308
get_latest,16,4096,101,531,551,562,11,4611
compare_apply_fixed_size,16,4096,101,7173,11091,11351,65,38616
get_latest,128,4096,101,862,891,902,11,4611
compare_apply_fixed_size,128,4096,101,13296,19557,20219,68,47229
get_latest,1024,4096,101,2775,2806,2825,11,4611
compare_apply_fixed_size,1024,4096,101,82426,92014,96412,74,139188
get_latest,16,65536,101,1363,1393,1433,11,66051
compare_apply_fixed_size,16,65536,101,47881,52028,54764,65,468696
get_latest,128,65536,101,1563,1603,1673,11,66051
compare_apply_fixed_size,128,65536,101,53822,62989,66325,68,477309
get_latest,1024,65536,101,3517,3597,4649,11,66051
compare_apply_fixed_size,1024,65536,101,130457,144232,280029,74,569268
annotation_duplicate_rebuild,100,0,101,18474,18705,19456,64,13040
annotation_duplicate_rebuild,1000,0,101,211490,219755,223983,77,170032
annotation_duplicate_rebuild,10000,0,101,2383654,2411377,2425824,86,1389696
history_first_page,1000,256,101,6192,6392,7404,316,22814
history_deep_page,1000,256,101,5962,6072,6923,316,22814
history_first_page,10000,256,101,6131,6232,7073,316,22814
history_deep_page,10000,256,101,5871,5982,6122,316,22814
history_first_page,100000,256,101,6843,7083,7224,316,22814
history_deep_page,100000,256,101,6241,6433,8576,316,22814
