payload_bytes,attempts,sample,elapsed_us,allocations,allocated_bytes,received_bytes,retry1_us,retry2_us
65536,1,0,605,334,1446872,65621,0,0
65536,1,1,369,189,898587,65621,0,0
65536,1,2,302,189,898587,65621,0,0
65536,1,3,299,189,898587,65621,0,0
65536,1,4,294,189,898587,65621,0,0
65536,3,0,226272,400,1636725,196863,54364,171585
65536,3,1,188328,400,1636725,196863,51410,136516
65536,3,2,193313,400,1636725,196863,58430,134544
65536,3,3,213269,400,1636725,196863,87442,125495
65536,3,4,215311,400,1636725,196863,69411,145551
1048576,1,0,5183,195,22067443,1048661,0,0
1048576,1,1,4791,195,22067443,1048661,0,0
1048576,1,2,4313,195,22067443,1048661,0,0
1048576,1,3,4588,195,22067443,1048661,0,0
1048576,1,4,4718,195,22067443,1048661,0,0
1048576,3,0,244058,418,49414653,3145983,75274,164420
1048576,3,1,251240,418,49414653,3145983,71344,175344
1048576,3,2,225934,418,49414653,3145983,82163,139255
1048576,3,3,283353,418,49414653,3145983,83282,195456
1048576,3,4,259058,418,49414653,3145983,65225,189221
