retained,capped,samples,p50_ns,p95_ns,p99_ns
100,false,101,671,2053,8226
100,true,101,5821,7755,11803
1000,false,101,691,1974,3617
1000,true,101,81915,124926,235045
10000,false,101,731,1984,2054
10000,true,101,1167469,1203207,1457357
