payload_bytes,attempts,sample,elapsed_us,allocations,allocated_bytes,received_bytes,retry1_us,retry2_us
65536,1,0,735,346,1577898,65621,0,0
65536,1,1,400,198,1029525,65621,0,0
65536,1,2,316,198,1029525,65621,0,0
65536,1,3,308,197,1029210,65621,0,0
65536,1,4,304,197,1029210,65621,0,0
65536,3,0,303679,429,1898509,196863,101491,201859
65536,3,1,302900,428,1898194,196863,101518,201030
65536,3,2,303869,429,1898509,196863,101737,201774
65536,3,3,303459,429,1898494,196863,101542,201577
65536,3,4,303452,428,1898179,196863,101446,201642
1048576,1,0,5561,204,24164461,1048661,0,0
1048576,1,1,5321,203,24164151,1048661,0,0
1048576,1,2,4656,204,24164441,1048661,0,0
1048576,1,3,4575,203,24164131,1048661,0,0
1048576,1,4,4549,203,24164146,1048661,0,0
1048576,3,0,310563,446,53608282,3145983,103271,202579
1048576,3,1,310897,447,53608582,3145983,103409,202522
1048576,3,2,310961,447,53608577,3145983,103362,202620
1048576,3,3,310941,447,53608582,3145983,103435,202539
1048576,3,4,312047,447,53608597,3145983,103525,203487
