
running 1 test
test history::audit_annotation_bench::benchmark_durable_annotation_reuse ... ANNOTATION_CSV,backend,retained,sample,duplicate_us,total
ANNOTATION_CSV,postgres,100,0,447,100
ANNOTATION_CSV,postgres,100,1,332,100
ANNOTATION_CSV,postgres,100,2,336,100
ANNOTATION_CSV,postgres,100,3,316,100
ANNOTATION_CSV,postgres,100,4,319,100
ANNOTATION_CSV,postgres,100,5,325,100
ANNOTATION_CSV,postgres,100,6,280,100
ANNOTATION_CSV,postgres,100,7,277,100
ANNOTATION_CSV,postgres,100,8,303,100
ANNOTATION_CSV,postgres,100,9,302,100
ANNOTATION_CSV,postgres,100,10,296,100
ANNOTATION_CSV,postgres,100,11,298,100
ANNOTATION_CSV,postgres,100,12,330,100
ANNOTATION_CSV,postgres,100,13,366,100
ANNOTATION_CSV,postgres,100,14,295,100
ANNOTATION_CSV,postgres,1000,0,333,1000
ANNOTATION_CSV,postgres,1000,1,325,1000
ANNOTATION_CSV,postgres,1000,2,290,1000
ANNOTATION_CSV,postgres,1000,3,319,1000
ANNOTATION_CSV,postgres,1000,4,326,1000
ANNOTATION_CSV,postgres,1000,5,343,1000
ANNOTATION_CSV,postgres,1000,6,296,1000
ANNOTATION_CSV,postgres,1000,7,307,1000
ANNOTATION_CSV,postgres,1000,8,306,1000
ANNOTATION_CSV,postgres,1000,9,298,1000
ANNOTATION_CSV,postgres,1000,10,292,1000
ANNOTATION_CSV,postgres,1000,11,298,1000
ANNOTATION_CSV,postgres,1000,12,298,1000
ANNOTATION_CSV,postgres,1000,13,284,1000
ANNOTATION_CSV,postgres,1000,14,285,1000
ok

test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 113 filtered out; finished in 1.17s

