operation,retained,payload_bytes,samples,p50_ns,p95_ns,p99_ns,alloc_calls_per_op,requested_alloc_bytes_per_op
get_latest,16,256,101,471,491,531,11,771
compare_apply_fixed_size,16,256,101,7164,11502,12804,65,11736
get_latest,128,256,101,761,801,862,11,771
compare_apply_fixed_size,128,256,101,13245,21550,26269,68,20349
get_latest,1024,256,101,2685,2766,2906,11,771
compare_apply_fixed_size,1024,256,101,78729,82336,85672,74,112308
get_latest,16,4096,101,541,571,631,11,4611
compare_apply_fixed_size,16,4096,101,7564,11762,12464,65,38616
get_latest,128,4096,101,882,912,942,11,4611
compare_apply_fixed_size,128,4096,101,14096,20108,20689,68,47229
get_latest,1024,4096,101,2825,2876,2915,11,4611
compare_apply_fixed_size,1024,4096,101,85362,99489,107092,74,139188
get_latest,16,65536,101,1373,1412,1413,11,66051
compare_apply_fixed_size,16,65536,101,49945,57179,161876,65,468696
get_latest,128,65536,101,1603,1633,1663,11,66051
compare_apply_fixed_size,128,65536,101,56367,80322,106792,68,477309
get_latest,1024,65536,101,3517,3596,4549,11,66051
compare_apply_fixed_size,1024,65536,101,128884,137620,148080,74,569268
annotation_duplicate_rebuild,100,0,101,19147,19407,20228,64,13040
annotation_duplicate_rebuild,1000,0,101,219685,224886,228082,77,170032
annotation_duplicate_rebuild,10000,0,101,2552701,2655344,2715799,86,1389696
history_first_page,1000,256,101,6282,6422,6563,316,22798
history_deep_page,1000,256,101,7253,7384,7975,316,22798
history_first_page,10000,256,101,6211,6322,6472,316,22798
history_deep_page,10000,256,101,19407,19517,23836,316,22798
history_first_page,100000,256,101,6352,6472,7304,316,22798
history_deep_page,100000,256,101,144223,149443,152689,316,22798
