operation,retained,payload_bytes,samples,p50_ns,p95_ns,p99_ns,alloc_calls_per_op,requested_alloc_bytes_per_op
get_latest,16,256,101,481,511,551,11,771
compare_apply_fixed_size,16,256,101,6903,11282,12483,65,11736
get_latest,128,256,101,741,792,811,11,771
compare_apply_fixed_size,128,256,101,13105,19978,68199,68,20349
get_latest,1024,256,101,2665,2685,2715,11,771
compare_apply_fixed_size,1024,256,101,77997,84139,101512,74,112308
get_latest,16,4096,101,561,611,641,11,4611
compare_apply_fixed_size,16,4096,101,7303,11171,11512,65,38616
get_latest,128,4096,101,872,901,961,11,4611
compare_apply_fixed_size,128,4096,101,13445,19667,20028,68,47229
get_latest,1024,4096,101,2735,2806,3887,11,4611
compare_apply_fixed_size,1024,4096,101,83007,91213,119987,74,139188
get_latest,16,65536,101,1373,1403,1443,11,66051
compare_apply_fixed_size,16,65536,101,49754,65984,159241,65,468696
get_latest,128,65536,101,1603,1653,1673,11,66051
compare_apply_fixed_size,128,65536,101,57018,65414,93707,68,477309
get_latest,1024,65536,101,3507,3547,3596,11,66051
compare_apply_fixed_size,1024,65536,101,127050,149212,253699,74,569268
annotation_duplicate_rebuild,100,0,101,18695,18956,20929,64,13040
annotation_duplicate_rebuild,1000,0,101,212422,217641,238060,77,170032
annotation_duplicate_rebuild,10000,0,101,2409854,2471449,2478543,86,1389696
history_first_page,1000,256,101,6342,6492,7144,316,22814
history_deep_page,1000,256,101,5962,6071,6122,316,22814
history_first_page,10000,256,101,6232,6332,6362,316,22814
history_deep_page,10000,256,101,5921,6141,9708,316,22814
history_first_page,100000,256,101,6322,6513,7183,316,22814
history_deep_page,100000,256,101,5851,5961,9368,316,22814
