payload_bytes,attempts,sample,elapsed_us,allocations,allocated_bytes,received_bytes,retry1_us,retry2_us
65536,1,0,655,346,1577898,65621,0,0
65536,1,1,374,197,1029210,65621,0,0
65536,1,2,301,197,1029215,65621,0,0
65536,1,3,304,198,1029510,65621,0,0
65536,1,4,297,197,1029215,65621,0,0
65536,3,0,302383,428,1898179,196863,101449,200617
65536,3,1,303373,429,1898509,196863,101467,201564
65536,3,2,302589,428,1898179,196863,101533,200697
65536,3,3,303376,429,1898474,196863,101449,201512
65536,3,4,302425,428,1898179,196863,101456,200624
1048576,1,0,5506,204,24164461,1048661,0,0
1048576,1,1,5502,203,24164131,1048661,0,0
1048576,1,2,4734,204,24164446,1048661,0,0
1048576,1,3,4682,204,24164461,1048661,0,0
1048576,1,4,4694,203,24164166,1048661,0,0
1048576,3,0,311600,446,53608267,3145983,103338,203443
1048576,3,1,311973,446,53608302,3145983,103436,203498
1048576,3,2,311922,447,53608577,3145983,103428,203421
1048576,3,3,311046,446,53608302,3145983,102440,203395
1048576,3,4,312296,447,53608577,3145983,103498,203592
