
running 1 test
test history::audit_annotation_bench::benchmark_durable_annotation_reuse ... ANNOTATION_CSV,backend,retained,sample,duplicate_us,total
ANNOTATION_CSV,postgres,100,0,1372,100
ANNOTATION_CSV,postgres,100,1,1274,100
ANNOTATION_CSV,postgres,100,2,1198,100
ANNOTATION_CSV,postgres,100,3,1227,100
ANNOTATION_CSV,postgres,100,4,1433,100
ANNOTATION_CSV,postgres,100,5,1206,100
ANNOTATION_CSV,postgres,100,6,1068,100
ANNOTATION_CSV,postgres,100,7,1074,100
ANNOTATION_CSV,postgres,100,8,1100,100
ANNOTATION_CSV,postgres,100,9,1366,100
ANNOTATION_CSV,postgres,100,10,1149,100
ANNOTATION_CSV,postgres,100,11,1113,100
ANNOTATION_CSV,postgres,100,12,1100,100
ANNOTATION_CSV,postgres,100,13,1142,100
ANNOTATION_CSV,postgres,100,14,1155,100
ANNOTATION_CSV,postgres,1000,0,1892,1000
ANNOTATION_CSV,postgres,1000,1,1877,1000
ANNOTATION_CSV,postgres,1000,2,1976,1000
ANNOTATION_CSV,postgres,1000,3,1909,1000
ANNOTATION_CSV,postgres,1000,4,1922,1000
ANNOTATION_CSV,postgres,1000,5,2046,1000
ANNOTATION_CSV,postgres,1000,6,1950,1000
ANNOTATION_CSV,postgres,1000,7,1919,1000
ANNOTATION_CSV,postgres,1000,8,1934,1000
ANNOTATION_CSV,postgres,1000,9,1871,1000
ANNOTATION_CSV,postgres,1000,10,1868,1000
ANNOTATION_CSV,postgres,1000,11,2278,1000
ANNOTATION_CSV,postgres,1000,12,1957,1000
ANNOTATION_CSV,postgres,1000,13,1943,1000
ANNOTATION_CSV,postgres,1000,14,2058,1000
ok

test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 112 filtered out; finished in 1.67s

