payload_bytes,attempts,sample,elapsed_us,allocations,allocated_bytes,received_bytes,retry1_us,retry2_us
65536,1,0,786,334,1446872,65621,0,0
65536,1,1,375,189,898587,65621,0,0
65536,1,2,436,189,898587,65621,0,0
65536,1,3,319,189,898587,65621,0,0
65536,1,4,303,189,898587,65621,0,0
65536,3,0,212206,400,1636725,196863,60343,151550
65536,3,1,240341,400,1636725,196863,51403,188606
65536,3,2,235360,400,1636725,196863,70417,164543
65536,3,3,243396,400,1636725,196863,52482,190584
65536,3,4,216352,400,1636725,196863,82450,133554
1048576,1,0,4953,195,22067443,1048661,0,0
1048576,1,1,4620,195,22067443,1048661,0,0
1048576,1,2,4279,195,22067443,1048661,0,0
1048576,1,3,4242,195,22067443,1048661,0,0
1048576,1,4,4209,195,22067443,1048661,0,0
1048576,3,0,215996,418,49414653,3145983,89450,122264
1048576,3,1,242213,418,49414653,3145983,59274,178469
1048576,3,2,269034,418,49414653,3145983,88247,176340
1048576,3,3,244054,418,49414653,3145983,89134,150419
1048576,3,4,210945,418,49414653,3145983,77099,129381
