
running 1 test
test history::audit_annotation_bench::benchmark_durable_annotation_reuse ... ANNOTATION_CSV,backend,retained,sample,duplicate_us,total
ANNOTATION_CSV,surrealdb,100,0,437,100
ANNOTATION_CSV,surrealdb,100,1,394,100
ANNOTATION_CSV,surrealdb,100,2,374,100
ANNOTATION_CSV,surrealdb,100,3,378,100
ANNOTATION_CSV,surrealdb,100,4,370,100
ANNOTATION_CSV,surrealdb,100,5,370,100
ANNOTATION_CSV,surrealdb,100,6,380,100
ANNOTATION_CSV,surrealdb,100,7,379,100
ANNOTATION_CSV,surrealdb,100,8,461,100
ANNOTATION_CSV,surrealdb,100,9,443,100
ANNOTATION_CSV,surrealdb,100,10,443,100
ANNOTATION_CSV,surrealdb,100,11,615,100
ANNOTATION_CSV,surrealdb,100,12,452,100
ANNOTATION_CSV,surrealdb,100,13,376,100
ANNOTATION_CSV,surrealdb,100,14,389,100
ANNOTATION_CSV,surrealdb,1000,0,423,1000
ANNOTATION_CSV,surrealdb,1000,1,441,1000
ANNOTATION_CSV,surrealdb,1000,2,439,1000
ANNOTATION_CSV,surrealdb,1000,3,383,1000
ANNOTATION_CSV,surrealdb,1000,4,449,1000
ANNOTATION_CSV,surrealdb,1000,5,395,1000
ANNOTATION_CSV,surrealdb,1000,6,382,1000
ANNOTATION_CSV,surrealdb,1000,7,383,1000
ANNOTATION_CSV,surrealdb,1000,8,414,1000
ANNOTATION_CSV,surrealdb,1000,9,389,1000
ANNOTATION_CSV,surrealdb,1000,10,388,1000
ANNOTATION_CSV,surrealdb,1000,11,425,1000
ANNOTATION_CSV,surrealdb,1000,12,417,1000
ANNOTATION_CSV,surrealdb,1000,13,402,1000
ANNOTATION_CSV,surrealdb,1000,14,418,1000
ok

test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 113 filtered out; finished in 0.84s

