payload_bytes,attempts,sample,elapsed_us,allocations,allocated_bytes,received_bytes,retry1_us,retry2_us
65536,1,0,705,345,1577568,65621,0,0
65536,1,1,409,198,1029525,65621,0,0
65536,1,2,316,198,1029505,65621,0,0
65536,1,3,312,198,1029505,65621,0,0
65536,1,4,298,197,1029210,65621,0,0
65536,3,0,303302,428,1898194,196863,101427,201539
65536,3,1,302540,429,1898474,196863,100485,201701
65536,3,2,303531,428,1898199,196863,101407,201679
65536,3,3,303480,428,1898179,196863,101434,201642
65536,3,4,303401,428,1898214,196863,101395,201634
1048576,1,0,5820,204,24164461,1048661,0,0
1048576,1,1,5038,204,24164446,1048661,0,0
1048576,1,2,4469,203,24164146,1048661,0,0
1048576,1,3,4424,204,24164441,1048661,0,0
1048576,1,4,4377,203,24164146,1048661,0,0
1048576,3,0,311377,447,53608562,3145983,103451,203372
1048576,3,1,310729,447,53608597,3145983,103369,202531
1048576,3,2,311379,446,53608267,3145983,103266,203350
1048576,3,3,311611,446,53608267,3145983,103449,203366
1048576,3,4,312106,447,53608582,3145983,103607,203503
