payload_bytes,attempts,sample,elapsed_us,allocations,allocated_bytes,received_bytes,retry1_us,retry2_us
65536,1,0,630,334,1446872,65621,0,0
65536,1,1,371,189,898587,65621,0,0
65536,1,2,298,189,898587,65621,0,0
65536,1,3,303,189,898587,65621,0,0
65536,1,4,293,189,898587,65621,0,0
65536,3,0,216264,400,1636725,196863,94443,121507
65536,3,1,269416,400,1636725,196863,91493,177581
65536,3,2,280391,400,1636725,196863,87485,192576
65536,3,3,218357,400,1636725,196863,92505,125516
65536,3,4,236185,400,1636725,196863,76398,159455
1048576,1,0,4954,195,22067443,1048661,0,0
1048576,1,1,4604,195,22067443,1048661,0,0
1048576,1,2,4234,195,22067443,1048661,0,0
1048576,1,3,4331,195,22067443,1048661,0,0
1048576,1,4,4301,195,22067443,1048661,0,0
1048576,3,0,288884,418,49414653,3145983,93238,191368
1048576,3,1,179937,418,49414653,3145983,65218,110307
1048576,3,2,210221,418,49414653,3145983,102443,103294
1048576,3,3,217134,418,49414653,3145983,96256,116400
1048576,3,4,176099,418,49414653,3145983,52179,119379
