
running 1 test
test history::audit_annotation_bench::benchmark_durable_annotation_reuse ... ANNOTATION_CSV,backend,retained,sample,duplicate_us,total
ANNOTATION_CSV,scylladb,100,0,415,100
ANNOTATION_CSV,scylladb,100,1,267,100
ANNOTATION_CSV,scylladb,100,2,174,100
ANNOTATION_CSV,scylladb,100,3,226,100
ANNOTATION_CSV,scylladb,100,4,192,100
ANNOTATION_CSV,scylladb,100,5,183,100
ANNOTATION_CSV,scylladb,100,6,183,100
ANNOTATION_CSV,scylladb,100,7,197,100
ANNOTATION_CSV,scylladb,100,8,311,100
ANNOTATION_CSV,scylladb,100,9,399,100
ANNOTATION_CSV,scylladb,100,10,290,100
ANNOTATION_CSV,scylladb,100,11,307,100
ANNOTATION_CSV,scylladb,100,12,249,100
ANNOTATION_CSV,scylladb,100,13,222,100
ANNOTATION_CSV,scylladb,100,14,193,100
ANNOTATION_CSV,scylladb,1000,0,302,1000
ANNOTATION_CSV,scylladb,1000,1,255,1000
ANNOTATION_CSV,scylladb,1000,2,260,1000
ANNOTATION_CSV,scylladb,1000,3,192,1000
ANNOTATION_CSV,scylladb,1000,4,232,1000
ANNOTATION_CSV,scylladb,1000,5,252,1000
ANNOTATION_CSV,scylladb,1000,6,267,1000
ANNOTATION_CSV,scylladb,1000,7,194,1000
ANNOTATION_CSV,scylladb,1000,8,183,1000
ANNOTATION_CSV,scylladb,1000,9,174,1000
ANNOTATION_CSV,scylladb,1000,10,194,1000
ANNOTATION_CSV,scylladb,1000,11,222,1000
ANNOTATION_CSV,scylladb,1000,12,360,1000
ANNOTATION_CSV,scylladb,1000,13,253,1000
ANNOTATION_CSV,scylladb,1000,14,239,1000
ok

test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 112 filtered out; finished in 18.14s

