operation,retained,payload_bytes,samples,p50_ns,p95_ns,p99_ns,alloc_calls_per_op,requested_alloc_bytes_per_op
get_latest,16,256,101,511,551,561,11,787
compare_apply_fixed_size,16,256,101,3166,4248,6672,73,7785
get_latest,128,256,101,511,571,591,11,787
compare_apply_fixed_size,128,256,101,3196,4048,4960,73,7785
get_latest,1024,256,101,501,541,551,11,787
compare_apply_fixed_size,1024,256,101,3266,4147,5280,73,7785
get_latest,16,4096,101,591,622,872,11,4627
compare_apply_fixed_size,16,4096,101,2685,2976,3206,73,42345
get_latest,128,4096,101,631,671,682,11,4627
compare_apply_fixed_size,128,4096,101,2786,3276,3527,73,42345
get_latest,1024,4096,101,611,641,651,11,4627
compare_apply_fixed_size,1024,4096,101,5040,6132,7394,73,42345
get_latest,16,65536,101,1392,1423,1623,11,66067
compare_apply_fixed_size,16,65536,101,27983,57208,95420,73,595305
get_latest,128,65536,101,1402,1433,1462,11,66067
compare_apply_fixed_size,128,65536,101,30287,51076,70433,73,595305
get_latest,1024,65536,101,1413,1453,1493,11,66067
compare_apply_fixed_size,1024,65536,101,29115,32341,46818,73,595305
annotation_duplicate_rebuild,100,0,101,1263,1332,1403,43,2005
annotation_duplicate_rebuild,1000,0,101,1303,1462,2565,43,2005
annotation_duplicate_rebuild,10000,0,101,1462,1563,1633,43,2005
history_first_page,1000,256,101,6482,6643,7033,316,22814
history_deep_page,1000,256,101,6362,6572,7404,316,22814
history_first_page,10000,256,101,6362,6482,7253,316,22814
history_deep_page,10000,256,101,6242,6332,6372,316,22814
history_first_page,100000,256,101,6562,6682,8516,316,22814
history_deep_page,100000,256,101,6031,6102,7434,316,22814
