
running 1 test
test history::audit_annotation_bench::benchmark_durable_annotation_reuse ... ANNOTATION_CSV,backend,retained,sample,duplicate_us,total
ANNOTATION_CSV,mysql,100,0,2093,100
ANNOTATION_CSV,mysql,100,1,2109,100
ANNOTATION_CSV,mysql,100,2,2035,100
ANNOTATION_CSV,mysql,100,3,1937,100
ANNOTATION_CSV,mysql,100,4,2006,100
ANNOTATION_CSV,mysql,100,5,1998,100
ANNOTATION_CSV,mysql,100,6,2020,100
ANNOTATION_CSV,mysql,100,7,2010,100
ANNOTATION_CSV,mysql,100,8,1989,100
ANNOTATION_CSV,mysql,100,9,2061,100
ANNOTATION_CSV,mysql,100,10,2836,100
ANNOTATION_CSV,mysql,100,11,2099,100
ANNOTATION_CSV,mysql,100,12,2008,100
ANNOTATION_CSV,mysql,100,13,2013,100
ANNOTATION_CSV,mysql,100,14,2075,100
ANNOTATION_CSV,mysql,1000,0,3078,1000
ANNOTATION_CSV,mysql,1000,1,3049,1000
ANNOTATION_CSV,mysql,1000,2,2803,1000
ANNOTATION_CSV,mysql,1000,3,3022,1000
ANNOTATION_CSV,mysql,1000,4,2778,1000
ANNOTATION_CSV,mysql,1000,5,2720,1000
ANNOTATION_CSV,mysql,1000,6,2790,1000
ANNOTATION_CSV,mysql,1000,7,2785,1000
ANNOTATION_CSV,mysql,1000,8,2701,1000
ANNOTATION_CSV,mysql,1000,9,2794,1000
ANNOTATION_CSV,mysql,1000,10,3149,1000
ANNOTATION_CSV,mysql,1000,11,2817,1000
ANNOTATION_CSV,mysql,1000,12,2721,1000
ANNOTATION_CSV,mysql,1000,13,2671,1000
ANNOTATION_CSV,mysql,1000,14,2690,1000
ok

test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 113 filtered out; finished in 3.85s

