
running 1 test
test history::audit_annotation_bench::benchmark_durable_annotation_reuse ... ANNOTATION_CSV,backend,retained,sample,duplicate_us,total
ANNOTATION_CSV,mysql,100,0,2122,100
ANNOTATION_CSV,mysql,100,1,2252,100
ANNOTATION_CSV,mysql,100,2,2118,100
ANNOTATION_CSV,mysql,100,3,1663,100
ANNOTATION_CSV,mysql,100,4,1671,100
ANNOTATION_CSV,mysql,100,5,1737,100
ANNOTATION_CSV,mysql,100,6,2185,100
ANNOTATION_CSV,mysql,100,7,2231,100
ANNOTATION_CSV,mysql,100,8,2113,100
ANNOTATION_CSV,mysql,100,9,1693,100
ANNOTATION_CSV,mysql,100,10,1659,100
ANNOTATION_CSV,mysql,100,11,1610,100
ANNOTATION_CSV,mysql,100,12,1650,100
ANNOTATION_CSV,mysql,100,13,2067,100
ANNOTATION_CSV,mysql,100,14,2214,100
ANNOTATION_CSV,mysql,1000,0,2804,1000
ANNOTATION_CSV,mysql,1000,1,3086,1000
ANNOTATION_CSV,mysql,1000,2,2777,1000
ANNOTATION_CSV,mysql,1000,3,2853,1000
ANNOTATION_CSV,mysql,1000,4,2846,1000
ANNOTATION_CSV,mysql,1000,5,2791,1000
ANNOTATION_CSV,mysql,1000,6,3039,1000
ANNOTATION_CSV,mysql,1000,7,2757,1000
ANNOTATION_CSV,mysql,1000,8,2765,1000
ANNOTATION_CSV,mysql,1000,9,2816,1000
ANNOTATION_CSV,mysql,1000,10,2752,1000
ANNOTATION_CSV,mysql,1000,11,2859,1000
ANNOTATION_CSV,mysql,1000,12,2862,1000
ANNOTATION_CSV,mysql,1000,13,2798,1000
ANNOTATION_CSV,mysql,1000,14,2749,1000
ok

test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 112 filtered out; finished in 4.16s

