
running 1 test
test history::audit_annotation_bench::benchmark_durable_annotation_reuse ... ANNOTATION_CSV,backend,retained,sample,duplicate_us,total
ANNOTATION_CSV,surrealdb,100,0,430,100
ANNOTATION_CSV,surrealdb,100,1,457,100
ANNOTATION_CSV,surrealdb,100,2,443,100
ANNOTATION_CSV,surrealdb,100,3,439,100
ANNOTATION_CSV,surrealdb,100,4,407,100
ANNOTATION_CSV,surrealdb,100,5,431,100
ANNOTATION_CSV,surrealdb,100,6,438,100
ANNOTATION_CSV,surrealdb,100,7,431,100
ANNOTATION_CSV,surrealdb,100,8,434,100
ANNOTATION_CSV,surrealdb,100,9,408,100
ANNOTATION_CSV,surrealdb,100,10,409,100
ANNOTATION_CSV,surrealdb,100,11,428,100
ANNOTATION_CSV,surrealdb,100,12,436,100
ANNOTATION_CSV,surrealdb,100,13,429,100
ANNOTATION_CSV,surrealdb,100,14,415,100
ANNOTATION_CSV,surrealdb,1000,0,400,1000
ANNOTATION_CSV,surrealdb,1000,1,479,1000
ANNOTATION_CSV,surrealdb,1000,2,435,1000
ANNOTATION_CSV,surrealdb,1000,3,446,1000
ANNOTATION_CSV,surrealdb,1000,4,424,1000
ANNOTATION_CSV,surrealdb,1000,5,394,1000
ANNOTATION_CSV,surrealdb,1000,6,422,1000
ANNOTATION_CSV,surrealdb,1000,7,444,1000
ANNOTATION_CSV,surrealdb,1000,8,431,1000
ANNOTATION_CSV,surrealdb,1000,9,437,1000
ANNOTATION_CSV,surrealdb,1000,10,452,1000
ANNOTATION_CSV,surrealdb,1000,11,442,1000
ANNOTATION_CSV,surrealdb,1000,12,406,1000
ANNOTATION_CSV,surrealdb,1000,13,418,1000
ANNOTATION_CSV,surrealdb,1000,14,401,1000
ok

test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 113 filtered out; finished in 0.84s

