
running 1 test
test history::audit_annotation_bench::benchmark_durable_annotation_reuse ... ANNOTATION_CSV,backend,retained,sample,duplicate_us,total
ANNOTATION_CSV,postgres,100,0,562,100
ANNOTATION_CSV,postgres,100,1,522,100
ANNOTATION_CSV,postgres,100,2,454,100
ANNOTATION_CSV,postgres,100,3,399,100
ANNOTATION_CSV,postgres,100,4,342,100
ANNOTATION_CSV,postgres,100,5,387,100
ANNOTATION_CSV,postgres,100,6,337,100
ANNOTATION_CSV,postgres,100,7,303,100
ANNOTATION_CSV,postgres,100,8,297,100
ANNOTATION_CSV,postgres,100,9,317,100
ANNOTATION_CSV,postgres,100,10,310,100
ANNOTATION_CSV,postgres,100,11,297,100
ANNOTATION_CSV,postgres,100,12,290,100
ANNOTATION_CSV,postgres,100,13,353,100
ANNOTATION_CSV,postgres,100,14,319,100
ANNOTATION_CSV,postgres,1000,0,338,1000
ANNOTATION_CSV,postgres,1000,1,326,1000
ANNOTATION_CSV,postgres,1000,2,286,1000
ANNOTATION_CSV,postgres,1000,3,312,1000
ANNOTATION_CSV,postgres,1000,4,285,1000
ANNOTATION_CSV,postgres,1000,5,287,1000
ANNOTATION_CSV,postgres,1000,6,284,1000
ANNOTATION_CSV,postgres,1000,7,291,1000
ANNOTATION_CSV,postgres,1000,8,284,1000
ANNOTATION_CSV,postgres,1000,9,324,1000
ANNOTATION_CSV,postgres,1000,10,308,1000
ANNOTATION_CSV,postgres,1000,11,250,1000
ANNOTATION_CSV,postgres,1000,12,268,1000
ANNOTATION_CSV,postgres,1000,13,294,1000
ANNOTATION_CSV,postgres,1000,14,270,1000
ok

test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 113 filtered out; finished in 1.16s

