operation,retained,payload_bytes,samples,p50_ns,p95_ns,p99_ns,alloc_calls_per_op,requested_alloc_bytes_per_op
get_latest,16,256,101,531,591,2585,11,787
compare_apply_fixed_size,16,256,101,3256,6472,11482,73,7785
get_latest,128,256,101,521,551,561,11,787
compare_apply_fixed_size,128,256,101,3226,4278,5190,73,7785
get_latest,1024,256,101,511,541,601,11,787
compare_apply_fixed_size,1024,256,101,3337,3987,5521,73,7785
get_latest,16,4096,101,591,622,641,11,4627
compare_apply_fixed_size,16,4096,101,2775,3106,3306,73,42345
get_latest,128,4096,101,612,662,1252,11,4627
compare_apply_fixed_size,128,4096,101,2916,3416,3707,73,42345
get_latest,1024,4096,101,621,651,681,11,4627
compare_apply_fixed_size,1024,4096,101,4909,6201,7144,73,42345
get_latest,16,65536,101,1402,1433,1463,11,66067
compare_apply_fixed_size,16,65536,101,27261,31019,33864,73,595305
get_latest,128,65536,101,1413,1473,2284,11,66067
compare_apply_fixed_size,128,65536,101,30087,31920,36258,73,595305
get_latest,1024,65536,101,1433,1482,2345,11,66067
compare_apply_fixed_size,1024,65536,101,29887,48973,76755,73,595305
annotation_duplicate_rebuild,100,0,101,1243,1322,1472,43,2005
annotation_duplicate_rebuild,1000,0,101,1292,1373,1433,43,2005
annotation_duplicate_rebuild,10000,0,101,1433,1493,1593,43,2005
history_first_page,1000,256,101,6532,6753,8766,316,22814
history_deep_page,1000,256,101,6472,6562,6652,316,22814
history_first_page,10000,256,101,6372,6462,6493,316,22814
history_deep_page,10000,256,101,6201,6312,7154,316,22814
history_first_page,100000,256,101,6662,6803,7515,316,22814
history_deep_page,100000,256,101,5951,6101,8927,316,22814
