payload_bytes,attempts,sample,elapsed_us,allocations,allocated_bytes,received_bytes,retry1_us,retry2_us
65536,1,0,673,346,1577898,65621,0,0
65536,1,1,410,197,1029195,65621,0,0
65536,1,2,341,198,1029525,65621,0,0
65536,1,3,315,198,1029525,65621,0,0
65536,1,4,305,197,1029195,65621,0,0
65536,3,0,303402,428,1898199,196863,101473,201598
65536,3,1,303316,429,1898474,196863,101446,201471
65536,3,2,302446,429,1898509,196863,101490,200617
65536,3,3,303332,429,1898489,196863,101435,201552
65536,3,4,303465,429,1898489,196863,101485,201633
1048576,1,0,5630,203,24164131,1048661,0,0
1048576,1,1,5269,204,24164461,1048661,0,0
1048576,1,2,4364,203,24164131,1048661,0,0
1048576,1,3,4406,204,24164461,1048661,0,0
1048576,1,4,4456,203,24164166,1048661,0,0
1048576,3,0,311489,447,53608597,3145983,103460,203414
1048576,3,1,310823,446,53608267,3145983,103564,202531
1048576,3,2,310696,446,53608267,3145983,103508,202386
1048576,3,3,311607,446,53608267,3145983,103441,203414
1048576,3,4,311670,446,53608302,3145983,103467,203401
