
running 1 test
test history::audit_annotation_bench::benchmark_durable_annotation_reuse ... ANNOTATION_CSV,backend,retained,sample,duplicate_us,total
ANNOTATION_CSV,dynamodb,100,0,382,100
ANNOTATION_CSV,dynamodb,100,1,330,100
ANNOTATION_CSV,dynamodb,100,2,302,100
ANNOTATION_CSV,dynamodb,100,3,410,100
ANNOTATION_CSV,dynamodb,100,4,366,100
ANNOTATION_CSV,dynamodb,100,5,379,100
ANNOTATION_CSV,dynamodb,100,6,394,100
ANNOTATION_CSV,dynamodb,100,7,364,100
ANNOTATION_CSV,dynamodb,100,8,347,100
ANNOTATION_CSV,dynamodb,100,9,334,100
ANNOTATION_CSV,dynamodb,100,10,318,100
ANNOTATION_CSV,dynamodb,100,11,308,100
ANNOTATION_CSV,dynamodb,100,12,329,100
ANNOTATION_CSV,dynamodb,100,13,280,100
ANNOTATION_CSV,dynamodb,100,14,283,100
ANNOTATION_CSV,dynamodb,1000,0,351,1000
ANNOTATION_CSV,dynamodb,1000,1,325,1000
ANNOTATION_CSV,dynamodb,1000,2,365,1000
ANNOTATION_CSV,dynamodb,1000,3,336,1000
ANNOTATION_CSV,dynamodb,1000,4,324,1000
ANNOTATION_CSV,dynamodb,1000,5,330,1000
ANNOTATION_CSV,dynamodb,1000,6,306,1000
ANNOTATION_CSV,dynamodb,1000,7,407,1000
ANNOTATION_CSV,dynamodb,1000,8,342,1000
ANNOTATION_CSV,dynamodb,1000,9,304,1000
ANNOTATION_CSV,dynamodb,1000,10,303,1000
ANNOTATION_CSV,dynamodb,1000,11,315,1000
ANNOTATION_CSV,dynamodb,1000,12,337,1000
ANNOTATION_CSV,dynamodb,1000,13,333,1000
ANNOTATION_CSV,dynamodb,1000,14,345,1000
ok

test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 113 filtered out; finished in 1.41s

