
running 1 test
test history::audit_annotation_bench::benchmark_durable_annotation_reuse ... ANNOTATION_CSV,backend,retained,sample,duplicate_us,total
ANNOTATION_CSV,surrealdb,100,0,457,100
ANNOTATION_CSV,surrealdb,100,1,422,100
ANNOTATION_CSV,surrealdb,100,2,409,100
ANNOTATION_CSV,surrealdb,100,3,443,100
ANNOTATION_CSV,surrealdb,100,4,402,100
ANNOTATION_CSV,surrealdb,100,5,378,100
ANNOTATION_CSV,surrealdb,100,6,390,100
ANNOTATION_CSV,surrealdb,100,7,376,100
ANNOTATION_CSV,surrealdb,100,8,398,100
ANNOTATION_CSV,surrealdb,100,9,448,100
ANNOTATION_CSV,surrealdb,100,10,489,100
ANNOTATION_CSV,surrealdb,100,11,446,100
ANNOTATION_CSV,surrealdb,100,12,444,100
ANNOTATION_CSV,surrealdb,100,13,438,100
ANNOTATION_CSV,surrealdb,100,14,437,100
ANNOTATION_CSV,surrealdb,1000,0,730,1000
ANNOTATION_CSV,surrealdb,1000,1,458,1000
ANNOTATION_CSV,surrealdb,1000,2,454,1000
ANNOTATION_CSV,surrealdb,1000,3,441,1000
ANNOTATION_CSV,surrealdb,1000,4,476,1000
ANNOTATION_CSV,surrealdb,1000,5,430,1000
ANNOTATION_CSV,surrealdb,1000,6,406,1000
ANNOTATION_CSV,surrealdb,1000,7,420,1000
ANNOTATION_CSV,surrealdb,1000,8,421,1000
ANNOTATION_CSV,surrealdb,1000,9,419,1000
ANNOTATION_CSV,surrealdb,1000,10,400,1000
ANNOTATION_CSV,surrealdb,1000,11,404,1000
ANNOTATION_CSV,surrealdb,1000,12,432,1000
ANNOTATION_CSV,surrealdb,1000,13,404,1000
ANNOTATION_CSV,surrealdb,1000,14,427,1000
ok

test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 112 filtered out; finished in 36.22s

