operation,retained,payload_bytes,samples,p50_ns,p95_ns,p99_ns,alloc_calls_per_op,requested_alloc_bytes_per_op
get_latest,16,256,101,481,511,521,11,771
compare_apply_fixed_size,16,256,101,6833,11171,12093,65,11736
get_latest,128,256,101,751,782,801,11,771
compare_apply_fixed_size,128,256,101,12874,19417,21741,68,20349
get_latest,1024,256,101,2685,2725,2785,11,771
compare_apply_fixed_size,1024,256,101,78127,82216,84169,74,112308
get_latest,16,4096,101,551,581,601,11,4611
compare_apply_fixed_size,16,4096,101,7244,11451,11552,65,38616
get_latest,128,4096,101,882,932,1022,11,4611
compare_apply_fixed_size,128,4096,101,13475,19476,19988,68,47229
get_latest,1024,4096,101,2765,2806,2976,11,4611
compare_apply_fixed_size,1024,4096,101,82927,91003,97705,74,139188
get_latest,16,65536,101,1373,1412,1413,11,66051
compare_apply_fixed_size,16,65536,101,48542,52810,55315,65,468696
get_latest,128,65536,101,1593,1643,2544,11,66051
compare_apply_fixed_size,128,65536,101,54323,63000,85281,68,477309
get_latest,1024,65536,101,3487,3527,3597,11,66051
compare_apply_fixed_size,1024,65536,101,126930,134534,144995,74,569268
annotation_duplicate_rebuild,100,0,101,19056,19426,24216,64,13040
annotation_duplicate_rebuild,1000,0,101,224515,229664,232430,77,170032
annotation_duplicate_rebuild,10000,0,101,2441219,2521101,2646588,86,1389696
history_first_page,1000,256,101,6042,6152,6382,316,22798
history_deep_page,1000,256,101,7053,7263,10409,316,22798
history_first_page,10000,256,101,6192,6262,6352,316,22798
history_deep_page,10000,256,101,19307,22473,23274,316,22798
history_first_page,100000,256,101,6162,6302,7164,316,22798
history_deep_page,100000,256,101,141388,150495,156205,316,22798
