operation,retained,payload_bytes,samples,p50_ns,p95_ns,p99_ns,alloc_calls_per_op,requested_alloc_bytes_per_op
get_latest,16,256,101,561,601,622,11,787
compare_apply_fixed_size,16,256,101,2796,3226,4859,55,5696
get_latest,128,256,101,561,1082,1112,11,787
compare_apply_fixed_size,128,256,101,2765,3126,4077,55,5696
get_latest,1024,256,101,551,591,612,11,787
compare_apply_fixed_size,1024,256,101,2906,3456,5020,55,5696
get_latest,16,4096,101,631,661,671,11,4627
compare_apply_fixed_size,16,4096,101,2164,2395,2635,55,32576
get_latest,128,4096,101,611,641,661,11,4627
compare_apply_fixed_size,128,4096,101,2174,2345,2455,55,32576
get_latest,1024,4096,101,611,651,671,11,4627
compare_apply_fixed_size,1024,4096,101,5531,7424,8185,55,32576
get_latest,16,65536,101,1433,1473,1493,11,66067
compare_apply_fixed_size,16,65536,101,43693,48702,226579,55,462656
get_latest,128,65536,101,1442,1482,1603,11,66067
compare_apply_fixed_size,128,65536,101,43723,52530,148260,55,462656
get_latest,1024,65536,101,1442,1483,1533,11,66067
compare_apply_fixed_size,1024,65536,101,46047,57289,73088,55,462656
annotation_duplicate_rebuild,100,0,101,19157,19456,22192,64,13040
annotation_duplicate_rebuild,1000,0,101,207843,212311,213453,77,170032
annotation_duplicate_rebuild,10000,0,101,2483143,2611425,2651070,86,1389696
history_first_page,1000,256,101,6322,6612,7224,316,22798
history_deep_page,1000,256,101,7304,7404,7494,316,22798
history_first_page,10000,256,101,6071,6192,6973,316,22798
history_deep_page,10000,256,101,19476,19787,21971,316,22798
history_first_page,100000,256,101,5691,5781,6603,316,22798
history_deep_page,100000,256,101,143140,147639,148220,316,22798
