retained,capped,samples,p50_ns,p95_ns,p99_ns
100,false,101,691,2004,4749
100,true,101,5470,7213,8295
1000,false,101,682,2104,3717
1000,true,101,81644,94038,135487
10000,false,101,772,2024,2414
10000,true,101,1168601,1192567,1261457
