payload_bytes,attempts,sample,elapsed_us,allocations,allocated_bytes,received_bytes,retry1_us,retry2_us
65536,1,0,551,334,1446872,65621,0,0
65536,1,1,383,189,898587,65621,0,0
65536,1,2,313,189,898587,65621,0,0
65536,1,3,306,189,898587,65621,0,0
65536,1,4,292,189,898587,65621,0,0
65536,3,0,175211,400,1636725,196863,53369,121530
65536,3,1,280409,400,1636725,196863,93445,186605
65536,3,2,202261,400,1636725,196863,90392,111516
65536,3,3,241292,400,1636725,196863,86365,154522
65536,3,4,182100,400,1636725,196863,54302,127453
1048576,1,0,5078,195,22067443,1048661,0,0
1048576,1,1,4903,195,22067443,1048661,0,0
1048576,1,2,4664,195,22067443,1048661,0,0
1048576,1,3,4651,195,22067443,1048661,0,0
1048576,1,4,4249,195,22067443,1048661,0,0
1048576,3,0,181934,418,49414653,3145983,73290,104334
1048576,3,1,288096,418,49414653,3145983,89285,194362
1048576,3,2,220000,418,49414653,3145983,100137,115445
1048576,3,3,297239,418,49414653,3145983,103370,189367
1048576,3,4,225292,418,49414653,3145983,79109,141363
