retained,capped,samples,p50_ns,p95_ns,p99_ns
100,false,101,682,2054,11261
100,true,101,5460,7174,7464
1000,false,101,721,2205,16000
1000,true,101,82657,97094,108355
10000,false,101,692,1984,3026
10000,true,101,1170676,1207916,1238072
