operation,retained,payload_bytes,samples,p50_ns,p95_ns,p99_ns,alloc_calls_per_op,requested_alloc_bytes_per_op
get_latest,16,256,101,581,601,632,11,787
compare_apply_fixed_size,16,256,101,2855,4729,4979,55,5696
get_latest,128,256,101,571,751,1253,11,787
compare_apply_fixed_size,128,256,101,2845,4148,5570,55,5696
get_latest,1024,256,101,551,621,631,11,787
compare_apply_fixed_size,1024,256,101,2875,3787,4619,55,5696
get_latest,16,4096,101,631,671,691,11,4627
compare_apply_fixed_size,16,4096,101,3376,3878,4298,55,32576
get_latest,128,4096,101,601,631,662,11,4627
compare_apply_fixed_size,128,4096,101,2495,3757,4158,55,32576
get_latest,1024,4096,101,611,641,661,11,4627
compare_apply_fixed_size,1024,4096,101,5320,7244,7655,55,32576
get_latest,16,65536,101,1423,1453,1493,11,66067
compare_apply_fixed_size,16,65536,101,44083,55545,78920,55,462656
get_latest,128,65536,101,1423,1463,1483,11,66067
compare_apply_fixed_size,128,65536,101,44995,52980,114045,55,462656
get_latest,1024,65536,101,1423,1472,2795,11,66067
compare_apply_fixed_size,1024,65536,101,44274,50004,148100,55,462656
annotation_duplicate_rebuild,100,0,101,18024,19196,20309,64,13040
annotation_duplicate_rebuild,1000,0,101,219585,223672,223993,77,170032
annotation_duplicate_rebuild,10000,0,101,2536924,2760647,2821612,86,1389696
history_first_page,1000,256,101,6231,6692,7444,316,22798
history_deep_page,1000,256,101,7284,7474,9779,316,22798
history_first_page,10000,256,101,6092,6182,6242,316,22798
history_deep_page,10000,256,101,19667,20248,23014,316,22798
history_first_page,100000,256,101,5811,5901,6442,316,22798
history_deep_page,100000,256,101,143781,149963,158089,316,22798
