operation,retained,payload_bytes,samples,p50_ns,p95_ns,p99_ns,alloc_calls_per_op,requested_alloc_bytes_per_op
get_latest,16,256,101,461,501,521,11,771
compare_apply_fixed_size,16,256,101,6823,11311,12694,65,11736
get_latest,128,256,101,712,1192,1443,11,771
compare_apply_fixed_size,128,256,101,12905,19938,20209,68,20349
get_latest,1024,256,101,2645,2665,3407,11,771
compare_apply_fixed_size,1024,256,101,77326,82766,84780,74,112308
get_latest,16,4096,101,541,842,902,11,4611
compare_apply_fixed_size,16,4096,101,7053,11081,11321,65,38616
get_latest,128,4096,101,862,892,902,11,4611
compare_apply_fixed_size,128,4096,101,13185,19607,19938,68,47229
get_latest,1024,4096,101,2745,2786,2845,11,4611
compare_apply_fixed_size,1024,4096,101,82215,90481,112182,74,139188
get_latest,16,65536,101,1352,1383,1423,11,66051
compare_apply_fixed_size,16,65536,101,49384,56617,149913,65,468696
get_latest,128,65536,101,1573,1603,1634,11,66051
compare_apply_fixed_size,128,65536,101,54172,60464,65904,68,477309
get_latest,1024,65536,101,3517,3557,3587,11,66051
compare_apply_fixed_size,1024,65536,101,129655,138863,325145,74,569268
annotation_duplicate_rebuild,100,0,101,18415,19277,22121,64,13040
annotation_duplicate_rebuild,1000,0,101,206941,214204,215758,77,170032
annotation_duplicate_rebuild,10000,0,101,2379215,2446081,2533216,86,1389696
history_first_page,1000,256,101,6202,6402,7093,316,22814
history_deep_page,1000,256,101,6021,6152,9498,316,22814
history_first_page,10000,256,101,6222,6322,6362,316,22814
history_deep_page,10000,256,101,5962,6091,6843,316,22814
history_first_page,100000,256,101,6342,6533,6623,316,22814
history_deep_page,100000,256,101,5891,5991,6071,316,22814
