operation,retained,payload_bytes,samples,p50_ns,p95_ns,p99_ns,alloc_calls_per_op,requested_alloc_bytes_per_op
get_latest,16,256,101,451,481,501,11,771
compare_apply_fixed_size,16,256,101,6873,11161,11882,65,11736
get_latest,128,256,101,711,732,751,11,771
compare_apply_fixed_size,128,256,101,12704,19346,19767,68,20349
get_latest,1024,256,101,2635,2685,3456,11,771
compare_apply_fixed_size,1024,256,101,77837,82085,83016,74,112308
get_latest,16,4096,101,521,801,832,11,4611
compare_apply_fixed_size,16,4096,101,7324,11272,11442,65,38616
get_latest,128,4096,101,871,902,922,11,4611
compare_apply_fixed_size,128,4096,101,13426,19567,20228,68,47229
get_latest,1024,4096,101,2745,2845,4379,11,4611
compare_apply_fixed_size,1024,4096,101,82566,91283,94338,74,139188
get_latest,16,65536,101,1343,1382,1393,11,66051
compare_apply_fixed_size,16,65536,101,47981,56818,150775,65,468696
get_latest,128,65536,101,1573,2044,2355,11,66051
compare_apply_fixed_size,128,65536,101,54673,62849,67267,68,477309
get_latest,1024,65536,101,3466,3557,4418,11,66051
compare_apply_fixed_size,1024,65536,101,127741,138732,329342,74,569268
annotation_duplicate_rebuild,100,0,101,19046,19807,22913,64,13040
annotation_duplicate_rebuild,1000,0,101,216209,220778,222721,77,170032
annotation_duplicate_rebuild,10000,0,101,2546041,2953701,3307219,86,1389696
history_first_page,1000,256,101,9869,10069,10109,316,22798
history_deep_page,1000,256,101,9669,9819,10409,316,22798
history_first_page,10000,256,101,9819,10230,13245,316,22798
history_deep_page,10000,256,101,21651,22442,26029,316,22798
history_first_page,100000,256,101,9798,9939,10239,316,22798
history_deep_page,100000,256,101,143361,152448,161035,316,22798
